Kiko Femena,Spain,Defender,176cm,02/02/1991(31)
Evan Ferguson,Ireland,Forward,,19/10/2004(17)
lvaro Fernndez,Spain,Goalkeeper,185cm,13/04/1998(23)
Fernandinho,Brazil,Midfielder,179cm,04/05/1985(36)
Will Ferry,Ireland,Midfielder,176cm,07/12/2000
Ryan Finnigan,England,Midfielder,,23/09/2003
Junior Firpo,Spain,Defender,184cm,22/08/1996(25)
William Fish,England,Defender,185cm,17/02/2003
Ethan Fitzhugh,England,Midfielder,,27/11/2002
Ashley Fletcher,England,Forward,185cm,02/10/1995
Marcelo Flores,Mexico,Midfielder,,01/10/2003(18)
Shane Flynn,Ireland,Midfielder,,14/10/2001
Phil Foden,England,Midfielder,171cm,28/05/2000(21)
Wesley Fofana,France,Defender,190cm,17/12/2000(21)
Shaqai Forde,England,Midfielder,,
Pablo Fornals,Spain,Midfielder,178cm,22/02/1996(26)
Adam Forshaw,England,Midfielder,174cm,08/10/1991(30)
Marcus Forss,Finland,Forward,182cm,18/06/1999
Fraser Forster,England,Goalkeeper,201cm,17/03/1988(34)
Ben Foster,England,Goalkeeper,193cm,03/04/1983(39)
Tariqe Fosu-Henry,Ghana,Midfielder,180cm,05/11/1995(26)
Ryan Fraser,Scotland,Midfielder,163cm,24/02/1994(28)
Melkamu Frauendorf,Germany,Midfielder,,12/01/2004(18)
Fred,Brazil,Midfielder,169cm,05/03/1993(29)
Ryan Fredericks,England,Defender,181cm,10/10/1992(29)
Christian Fuchs,Austria,Defender,187cm,07/04/1986
James Furlong,Ireland,Defender,,07/06/2002(19)
Gabriel Jesus,Brazil,Forward,175cm,03/04/1997(25)
Gabriel Magalhes,Brazil,Defender,190cm,19/12/1997(24)
Gabriel Martinelli,Brazil,Midfielder,178cm,18/06/2001(20)
Ethan Galbraith,Northern Ireland,Midfielder,175cm,11/05/2001
Conor Gallagher,England,Midfielder,182cm,06/02/2000(22)
Eric Garca,Spain,Defender,182cm,09/01/2001
James Garner,England,Midfielder,186cm,13/03/2001
Dwight Gayle,England,Forward,174cm,17/10/1989(32)
Jean-Philippe Gbamin,Cote DIvoire,Midfielder,186cm,25/09/1995
Joe Gelhardt,England,Forward,175cm,04/05/2002(19)
Rachid Ghezzal,Algeria,Midfielder,182cm,09/05/1992
Saman Ghoddos,Iran,Forward,176cm,06/09/1993(28)
